"Nome","Cognome","Grado","Ruolo","Stato","Abilitato","Ore Totali","N. Servizi","N. Sanzioni","N. Richiami","Data Ingresso","Discord ID"
"Lasagna","Alsugo","Medico Specialista","","Attivo","Sì","19.0","13","0","0","",""
"Esmir","Bajraktarevic","Medico in Prova","","Licenziato","Sì","4.3","2","0","0","",""
"Stick","Bom","Medico Assistente","","Licenziato","Sì","2.8","7","0","0","",""
"Leonardo","Bulla","Medico in Prova","","Licenziato","Sì","5.7","3","0","0","",""
"Valerio","Busico","Medico Assistente","","Licenziato","Sì","6.3","5","0","2","",""
"Leonardo","Cagliato","Medico Assistente","","Attivo","Sì","8.4","8","0","1","",""
"Matteo","Callari","Medico in Prova","","Licenziato","No","0.1","1","0","0","",""
"Alessio","Casadei","Medico in Prova","","Licenziato","Sì","4.0","3","0","2","",""
"Erobrine","Caza","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Stefano","Ceriani","Primario","","Attivo","Sì","196.4","21","0","0","",""
"Denis","Coleman","Medico Assistente","","Licenziato","Sì","3.3","3","0","1","",""
"Ethan","Cooper","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Noah","Cortez","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Lola","Cruz","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Cesare","DeSantis","Medico in Prova","","Licenziato","Sì","1.1","1","0","1","",""
"Franco","Di Franco","Medico Assistente","","Attivo","Sì","6.5","12","0","1","",""
"Federico","Emma","Medico in Prova","","Attivo","Sì","8.3","2","0","0","",""
"Vincenzo","Esposito","Direttore Operativo","","Attivo","Sì","20.1","20","0","1","",""
"Luca","Esposito","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Veslao","Eugenio","Medico in Prova","","Attivo","Sì","1.1","1","0","0","",""
"Mario","Fantone","Medico in Prova","","Licenziato","Sì","0.9","1","0","0","",""
"Nova","Frost","Medico Assistente","","Licenziato","Sì","0.0","0","0","0","",""
"Tozio","Just","Medico Assistente","","Attivo","Sì","3.4","3","0","1","",""
"Tanjiro","Kamado","Medico in Prova","","Attivo","No","0.0","0","0","0","",""
"Ivan","Karpov","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Simone","Kazuto","Medico Assistente","","Licenziato","Sì","9.6","12","0","1","",""
"Spoke","Kazuto","Medico Specialista","","Attivo","Sì","8.2","10","0","0","",""
"Sofia","Lay","Medico Assistente","","Attivo","Sì","17.1","5","0","0","",""
"Steav","Lerry","Medico Assistente","","Attivo","Sì","17.6","10","0","0","",""
"Alexander","Mahone","Medico Specializzando","","Attivo","Sì","46.4","23","0","0","",""
"Angelino","Manfredi","Medico Assistente","","Attivo","Sì","3.5","2","0","1","",""
"LilJ","Massari","Medico in Prova","","Licenziato","Sì","0.6","1","0","1","",""
"Jim","Milton","Medico Assistente","","Licenziato","Sì","3.5","8","0","3","",""
"Massimiliano","minnocci","Medico Assistente","","Licenziato","Sì","10.7","9","0","1","",""
"Matheo","Miranda","Medico in Prova","","Attivo","No","0.0","0","0","0","",""
"Simone","Molons","Medico in Prova","","Licenziato","No","6.8","2","0","0","",""
"Simone","Montesi","Medico in Prova","","Attivo","Sì","0.0","0","0","0","",""
"Arthur","Moser","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Rye","Paga","Medico in Prova","","Licenziato","Sì","6.9","4","0","0","",""
"Leonardo","Pardoso","Medico Assistente","","Attivo","Sì","12.5","14","0","0","",""
"Marco","Parker","Medico di Base","","Licenziato","Sì","9.2","11","0","1","",""
"Jesse","Pinkman","Medico in Prova","","Attivo","Sì","4.6","4","0","0","",""
"Marco","Rossi","Direttore delle Scienze Mediche","","Attivo","Sì","98.7","64","0","1","",""
"Federico","Rubini","Medico Assistente","","Attivo","Sì","18.5","8","0","0","",""
"Antonio","Sannita","Medico di Base","","Licenziato","Sì","14.4","17","0","0","",""
"Kona","Shiro","Vice Primario","","Attivo","Sì","172.6","49","0","0","",""
"Francy","Slime","Direttore Sanitario","","Attivo","Sì","4.2","6","0","0","",""
"Dimitri","Smith","Medico Assistente","","Attivo","Sì","3.6","5","0","1","",""
"Danix","Smunga","Medico Assistente","","Attivo","Sì","7.6","6","0","0","",""
"Alessandro","Sorion","Medico Specialista","","Attivo","Sì","4.8","6","0","0","",""
"Luca","Torretti","Medico in Prova","","Licenziato","Sì","7.4","3","0","0","",""
"Pascal","Tuff","Medico in Prova","","Licenziato","No","0.0","0","0","0","",""
"Cristian","Williams","Primario","","Attivo","Sì","9.8","7","0","0","",""
"Theo","Williams","Medico in Prova","","Licenziato","No","1.0","1","0","0","",""
"Tommy","Yummy","Medico Assistente","","Licenziato","Sì","23.3","10","0","0","",""
"Ice","Yuri","Medico Assistente","","Attivo","Sì","13.9","5","0","1","",""
"Pida","Zen","Medico in Prova","","Licenziato","Sì","4.3","7","0","0","",""
"Normanno","Tonnato","Medico in Prova","","Attivo","Sì","0.0","0","0","0","",""
"Winnita","Casino","Medico in Prova","","Attivo","Sì","0.0","0","0","0","",""
"Paperotto","Paperini","Medico in Prova","","Attivo","Sì","0.0","0","0","0","",""
"Violet","Gardner","Direttore Sanitario","","Attivo","Sì","0.0","0","0","0","",""
